City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Honningsvåg,NO,70.9821,25.9704,33.8,75,40,9.22,scattered clouds
308,Port Hedland,AU,-20.3167,118.5667,93.2,13,0,17.27,clear sky
309,Berlevåg,NO,70.8578,29.0864,32.0,86,75,9.22,light rain
310,Bardsīr,IR,29.9227,56.5743,55.4,33,0,4.61,clear sky
311,Kidal,ML,18.4411,1.4078,81.23,8,6,10.58,clear sky
312,Winnemucca,US,40.973,-117.7357,62.6,16,75,18.41,broken clouds
313,Avenal,US,36.0041,-120.129,71.6,37,1,11.5,clear sky
314,Santa Cruz de la Sierra,BO,-17.8,-63.1667,75.2,94,75,5.75,broken clouds
315,Kitui,KE,-1.367,38.0106,62.82,95,98,2.39,overcast clouds
316,Albion,US,42.2431,-84.753,32.0,74,1,6.6,clear sky
317,Kahului,US,20.8947,-156.47,80.6,57,20,24.16,few clouds
318,Pontianak,ID,-0.0333,109.3333,87.8,70,75,4.61,broken clouds
319,San Jose,US,37.3394,-121.895,53.6,76,20,16.11,few clouds
320,Humaitá,BR,-7.5061,-63.0208,75.43,90,92,1.68,overcast clouds
321,Camopi,GF,3.1655,-52.3158,71.73,99,100,0.38,overcast clouds
322,Gemena,CD,3.25,19.7667,69.48,97,91,2.39,overcast clouds
323,Flinders,AU,-34.5833,150.8552,73.99,39,0,1.99,clear sky
324,Poykovskiy,RU,61.2333,73.3333,39.2,48,0,13.42,clear sky
325,Hokitika,NZ,-42.7167,170.9667,59.18,83,96,7.67,overcast clouds
326,Bundaberg,AU,-24.85,152.35,77.0,31,90,8.05,overcast clouds
327,Wairoa,NZ,-39.0333,177.3667,68.0,73,99,2.04,overcast clouds
328,Camaçari,BR,-12.6975,-38.3242,80.6,78,40,10.36,light rain
329,Nantucket,US,41.2835,-70.0995,42.8,36,1,19.57,clear sky
330,Nago,JP,26.5881,127.9761,68.0,94,1,28.77,light rain
331,Coquimbo,CL,-29.9533,-71.3436,59.0,82,90,2.3,overcast clouds
332,Ukiah,US,39.1502,-123.2078,64.4,39,1,6.91,clear sky
333,Tanout,NE,14.9709,8.8879,78.64,8,95,0.2,overcast clouds
334,Sayyan,YE,15.1718,44.3244,60.73,31,0,1.12,clear sky
335,Buritis,BR,-15.6178,-46.4233,70.16,61,30,1.86,scattered clouds
336,Kafanchan,NG,9.5833,8.3,72.91,74,100,4.03,overcast clouds
337,Nālūt,LY,30.3333,10.85,70.66,24,9,9.48,clear sky
338,Malpe,IN,13.35,74.7167,77.0,88,75,8.05,broken clouds
339,Helena,US,46.5927,-112.0361,30.99,69,90,8.05,overcast clouds
340,Vao,NC,-22.6667,167.4833,74.7,72,80,10.71,broken clouds
341,Qaryat Sulūq,LY,31.6682,20.2521,65.75,30,38,19.37,scattered clouds
342,Tabory,RU,58.5198,64.5495,47.37,61,100,7.99,overcast clouds
343,Rāmhormoz,IR,31.28,49.6035,87.62,15,100,0.63,overcast clouds
344,Tilichiki,RU,60.4667,166.1,29.73,85,12,3.0,few clouds
345,Carahue,CL,-38.7,-73.1667,41.0,100,22,2.3,mist
